b = 178.4139114545757, l = -17.568134999683302, h = -6380316.623729643
b = -154.69863163847398, l = 45.40249251650671, h = -6386963.456331854
b = -136.4725484323928, l = 12.507791049536683, h = -6391941.35977198
b = 171.95519430401134, l = -133.81016597389737, h = -6382970.996654241
b = 99.12799643460451, l = -161.7058298870108, h = -6411633.958595083
b = 159.35313154244918, l = -42.29483571347671, h = -6385375.851441294
b = -108.17415834776436, l = -76.48431208184712, h = -6405184.202201508
b = -166.42216949394572, l = 150.55931402681267, h = -6383044.285224322
b = 122.98845887984116, l = 101.59520393271264, h = -6399057.89333689
b = 178.9849427800815, l = 138.35707575856492, h = -6382012.72412267
b = -137.5157927079542, l = -127.77958987620795, h = -6393078.515266206
b = -177.99562610878797, l = -47.276282088092344, h = -6380775.362223017
b = -154.35808584489632, l = 45.562472913436615, h = -6387074.867353727
b = -134.42648088462798, l = 11.762002632632134, h = -6392792.178093161
b = 172.29414031661682, l = -133.64187795522042, h = -6382931.064331305
b = 99.94505822427288, l = -160.93689233395367, h = -6410768.618530334
b = 159.99966656660476, l = -42.36993318910732, h = -6385216.1981354775
b = -108.79441845427891, l = -77.56755628412934, h = -6404854.979702381
b = -165.7081215540488, l = 151.0747602212322, h = -6383170.039470671
b = 122.74762327039222, l = 102.33696017977209, h = -6399175.661553671
b = 179.08664610686665, l = 138.7711152265703, h = -6382005.987799288
b = -137.48302609892093, l = -128.20764335813075, h = -6393104.778264633
b = -177.7321803729886, l = -48.314019278720515, h = -6380785.583195744
b = -154.01763044928535, l = 45.72247593954099, h = -6387186.634287825
b = -132.38624085900824, l = 10.99798725573165, h = -6393650.946182979
b = 172.62384285752844, l = -133.4738209577173, h = -6382892.979182506
b = 100.81151728707695, l = -160.20144411809196, h = -6409955.044659412
b = 160.63151723007147, l = -42.4444122035378, h = -6385064.363859014
b = -109.44852277569787, l = -78.63407618297595, h = -6404515.3418861
b = -164.96952906837197, l = 151.5934557421663, h = -6383306.868895663
b = 122.52234670568363, l = 103.0787835016021, h = -6399285.861247215
b = 179.1824645353665, l = 139.18638779032776, h = -6381998.988525988
b = -137.45740672011382, l = -128.63389922576192, h = -6393127.206181966
b = -177.44575666753724, l = -49.34993317512028, h = -6380797.955411907
b = -153.67741869580414, l = 45.88258159564321, h = -6387298.686105331
b = -130.36121917535957, l = 10.21488425691522, h = -6394511.053370576
b = 172.94441093121293, l = -133.30553961562052, h = -6382856.608144586
b = 101.72833434008146, l = -159.4971439902681, h = -6409184.850131385
b = 161.2490705080919, l = -42.51852127985035, h = -6384920.029994094
b = -110.13702758148992, l = -79.68452062148663, h = -6404165.1618246
b = -164.20602742716915, l = 152.11547955995627, h = -6383455.457317455
b = 122.31356848782293, l = 103.82111021408349, h = -6399388.000768068
b = 179.2727718055965, l = 139.6028487149684, h = -6381991.7124210205
b = -137.43850423735694, l = -129.05821176218535, h = -6393145.979887069
b = -177.13559631214656, l = -50.383936306456285, h = -6380812.7643381
b = -153.33746260556774, l = 46.04259492220372, h = -6387411.005349831
b = -128.3614794750912, l = 9.412332097877856, h = -6395365.819105622
b = 173.25606352076025, l = -133.1372303025633, h = -6382821.818032292
b = 102.69657710150419, l = -158.82231578108824, h = -6408450.1433853395
b = 161.85245797654437, l = -42.59201029809612, h = -6384782.897881808
b = -110.86047354767024, l = -80.7181426427712, h = -6403804.231385468
b = -163.41752499897933, l = 152.64076310693352, h = -6383616.424492678
b = 122.12005258383839, l = 104.56397659315921, h = -6399482.617353266
b = 179.35803777545567, l = 140.0209049237013, h = -6381984.122032867
b = -137.42667368675382, l = -129.4808562189287, h = -6393160.918738905
b = -176.80109989291017, l = -51.41572628611354, h = -6380830.358308648
b = -152.99777923759868, l = 46.202684450220104, h = -6387523.572931903
b = -126.39678969747007, l = 8.588903596645025, h = -6396209.150439548
b = 173.5589725921897, l = -132.96871257211248, h = -6382788.472937204
b = 103.71736366602335, l = -158.1746766983597, h = -6407743.663030453
b = 162.44181448448649, l = -42.665108725600554, h = -6384652.689919016
b = -111.61976372358534, l = -81.7356482737979, h = -6403432.048395301
b = -162.60416924251348, l = 153.16974925257475, h = -6383790.355016305
b = 121.94196437240858, l = 105.30707484952592, h = -6399569.614410596
b = 179.4386914995502, l = 140.44039710104843, h = -6381976.216140679
b = -137.42131006179068, l = -129.90201295305636, h = -6393172.292651383
b = -176.44197663861976, l = -52.444786964537634, h = -6380851.060482693
b = -152.65793943668115, l = 46.36293781898389, h = -6387636.485580811
b = -124.4749123418046, l = 7.744688366472776, h = -6397036.332137641
b = 173.85312958340612, l = -132.79999011494795, h = -6382756.457820815
b = 104.79088293463711, l = -157.55314936085017, h = -6407059.407498156
b = 163.01746910853788, l = -42.73785770217553, h = -6384529.085667812
b = -112.41543563880731, l = -82.73707244840698, h = -6403048.260712769
b = -161.766036750832, l = 153.702381242849, h = -6383977.846521314
b = 121.77944559161197, l = 106.05058000961304, h = -6399648.863379124
b = 179.51516800174917, l = 140.86152699168971, h = -6381967.962916781
b = -137.4229604072603, l = -130.3216511781823, h = -6393179.848241106
b = -176.05768185338084, l = -53.47098909144288, h = -6380875.274486237
b = -152.31830321943144, l = 46.523333919014156, h = -6387749.638124815
b = -122.60400948902937, l = 6.878254365475067, h = -6397843.118612443
b = 174.13878947065305, l = -132.63099137056946, h = -6382725.673842188
b = 105.91815994239433, l = -156.95581601884524, h = -6406391.121332661
b = 163.57951639488692, l = -42.81020162562567, h = -6384411.81828255
b = -113.24770762761538, l = -83.72219550523239, h = -6402652.563133265
b = -175.78741288857736, l = -54.15334457656295, h = -6380893.562952356
b = -152.0922506679383, l = 46.63045668297264, h = -6387825.096277526
b = -121.38838468423144, l = 6.288061603060602, h = -6398368.143854005
b = 129.27576890341385, l = 152.43086292419446, h = -6396193.773724874
b = 106.699201205797, l = -156.5701306939279, h = -6405952.11457824
b = 163.9467622310441, l = -42.85820545924259, h = -6384337.01964084
b = -113.82306482272783, l = -84.3701499357835, h = -6402381.952372283
b = -158.71072848635316, l = 63.61858250727168, h = -6384622.174711802
b = 121.54232038762773, l = 107.2905393801999, h = -6399764.115478446
b = 179.63459414342807, l = 141.56751362297183, h = -6381953.422751858
b = 173.3576302933421, l = -131.01806520469134, h = -6382322.240383446
b = -177.3809006316149, l = -35.233907117976116, h = -6381940.803124207
b = -151.75265016010962, l = 46.79140033128699, h = -6387938.677385889
b = -119.61637958987225, l = 5.383215860194918, h = -6399135.062019289
b = 128.1604053851887, l = 152.86400302721725, h = -6396682.984546281
b = 107.9157178784016, l = -156.01006707046557, h = -6405299.356095056
b = 164.486913642303, l = -42.92999818091641, h = -6384229.626134624
b = -114.71773590342795, l = -85.32892839447544, h = -6401965.195454725
b = -157.86607747673003, l = 64.25891119096276, h = -6384857.12244957
b = 121.42049794942713, l = 108.03516468732363, h = -6399823.007231474
b = 179.70216530501247, l = 141.9936504755734, h = -6381944.213066299
b = 173.73447174430228, l = -131.43423500332997, h = -6382292.910173702
b = -177.19721829419902, l = -35.494136336366786, h = -6381977.035979874
b = -151.4133097180128, l = 46.9525236572842, h = -6388052.405790964
b = -117.91007467294513, l = 4.454310243729615, h = -6399876.431669129
b = 127.05224048941376, l = 153.30528739435195, h = -6397170.501052686
b = 109.18536242897298, l = -155.4704525442152, h = -6404649.838385821
b = 165.01415247265476, l = -43.00149206633657, h = -6384127.802189663
b = -115.65026558177541, l = -86.27206087096955, h = -6401535.190476929
b = -157.01050740432044, l = 64.90071036418007, h = -6385102.807182518
b = 121.31352021849368, l = 108.78009753526757, h = -6399874.40418258
b = 179.76725511373456, l = 142.4219045465613, h = -6381934.611673508
b = 174.0956900085358, l = -131.84941644806455, h = -6382266.384772256
b = -177.00730817033286, l = -35.75036551886192, h = -6382013.427253399
b = -151.07400459409408, l = 47.113996821484946, h = -6388166.349058475
b = -116.27377820475006, l = 3.50036955022595, h = -6400591.833113687
b = 125.95265214238486, l = 153.7552773470401, h = -6397655.457006165
b = 110.50761173307518, l = -154.95010708908518, h = -6403999.564938195
b = 165.52858871048613, l = -43.07281445815264, h = -6384031.294622045
b = -116.61984802573568, l = -87.19987816982827, h = -6401091.969327059
b = -156.14480716536863, l = 65.54408281958936, h = -6385359.129504373
b = 121.22169516345535, l = 109.52523912726544, h = -6399918.137706576
b = 179.83034234160118, l = 142.85241441110148, h = -6381924.640272668
b = 174.4416348893772, l = -132.2634655003082, h = -6382242.399921235
b = -176.81129942307908, l = -36.0028400837734, h = -6382050.034250438
b = -150.73455217400047, l = 47.2759977842794, h = -6388280.545820081
b = -114.70955312276608, l = 2.5206336718332456, h = -6401282.313255965
b = 124.86307884799679, l = 154.21440070651178, h = -6398137.013872723
b = 111.88081433439577, l = -154.44826910887613, h = -6403345.371447195
b = 166.03070540555953, l = -43.143820338867855, h = -6383939.78932905
b = -117.62762807750192, l = -88.11255588563401, h = -6400634.645885252
b = -155.27027997043402, l = 66.18913968377845, h = -6385625.762071963
b = 121.14478768033031, l = 110.27099415275029, h = -6399954.338082568
b = 179.89194887823407, l = 143.28506743829783, h = -6381914.284457421
b = 174.77279604756964, l = -132.67677355909964, h = -6382220.715693553
b = -176.60918639983225, l = -36.25152064502134, h = -6382086.895214398
b = -150.39517783033355, l = 47.43833015157463, h = -6388394.900211239
b = -113.21911279668022, l = 1.5141036496801208, h = -6401949.333997003
b = 123.78465090037676, l = 154.68261452552855, h = -6398614.561931672
b = 113.3040227645168, l = -153.96350063187626, h = -6402684.135996732
b = 166.52054304585067, l = -43.21464243208133, h = -6383853.075388177
b = -118.67246049627028, l = -89.0102363068903, h = -6400163.397930078
b = -154.3878017146586, l = 66.83597698487766, h = -6385902.479803712
b = 121.08298569093871, l = 111.01686856416086, h = -6399982.848564577
b = 179.9525503179186, l = 143.72018092149315, h = -6381903.535680705
b = 175.08943699123157, l = -133.0891939190078, h = -6382201.10557283
b = -176.40095007427558, l = -36.496780134117486, h = -6382124.046325061
b = -150.05564705098786, l = 47.601165494942094, h = -6388509.486568578
b = -111.80382216697369, l = 0.48027677854886736, h = -6402594.685209749
b = 122.71908612671773, l = 155.1606132499006, h = -6399087.245118211
b = 114.77475884901683, l = -153.49507235885724, h = -6402013.825051475
b = 166.99832758039463, l = -43.28531249811938, h = -6383770.888814946
b = -119.75432202061157, l = -89.89309901775171, h = -6399677.917105487
b = -153.4986683676686, l = 67.48448725658648, h = -6386188.84403511
b = 121.03561328435958, l = 111.76333187560995, h = -6400004.014201947
b = -179.98730179243807, l = 144.15792189448587, h = -6381892.407372885
b = 175.39209264496327, l = -133.5008970872186, h = -6382183.34407201
b = -176.18667417440545, l = -36.73863258556435, h = -6382161.552408534
b = -149.7160064333445, l = 47.764685298948315, h = -6388624.25965532
b = -110.46293221399183, l = -0.5821041278942015, h = -6403221.236651206
b = 121.66670153361333, l = 155.64863093535558, h = -6399554.946350247
b = 116.29038008811139, l = -153.0421043235395, h = -6401332.852973494
b = 167.46430156938024, l = -43.3558733254925, h = -6383692.998931561
b = -120.87218018289518, l = -90.76175122113884, h = -6399178.362593571
b = -152.60403355664982, l = 68.1349188441453, h = -6386484.433570776
b = 121.00368849382936, l = 112.51003917068108, h = -6400017.32958291
b = -179.92708329635684, l = 144.59827699050444, h = -6381880.898677056
b = 175.68103562915277, l = -133.9119467735326, h = -6382167.231619219
b = -175.9664575859545, l = -36.97720206713065, h = -6382199.433733382
b = -149.37579445313997, l = 47.928702460953765, h = -6388739.364633045
b = -109.19634427230253, l = -1.673515135029276, h = -6403831.489379445
b = 120.62950478458254, l = 156.14714597279956, h = -6400016.818169914
b = 117.84810987371364, l = -152.60368035991632, h = -6400640.133775541
b = 167.9188255712745, l = -43.42635646618825, h = -6383619.133701428
b = -122.02532161797676, l = -91.61617363001564, h = -6398664.827965718
b = -151.70498737138792, l = 68.78729526299739, h = -6386788.793667412
b = 120.986451890466, l = 113.2571825110176, h = -6400023.158727259
b = -179.86620681565108, l = 145.04144905239906, h = -6381869.012894438
b = 175.95672490404226, l = -134.32261928711557, h = -6382152.583690959
b = -175.7401813230891, l = -37.21269614118491, h = -6382237.7660809625
b = -149.03579729180925, l = 48.0934707561382, h = -6388854.517228252
b = -108.0028835327528, l = -2.795191838779597, h = -6404428.355451574
b = 119.60812606742186, l = 156.65659540257195, h = -6400472.70318006
b = 119.44420019688019, l = -152.1788512898571, h = -6399935.476786011
b = 168.3617752721213, l = -43.49679892642764, h = -6383549.125490784
b = -123.21280430098547, l = -92.45677631821476, h = -6398137.5862615025
b = -150.80239467694076, l = 69.44173614441594, h = -6387101.489415428
b = 120.98393139548094, l = 114.00448408369068, h = -6400021.48906331
b = -179.80410880060722, l = 145.48751816165506, h = -6381856.761176509
b = 176.21958415959992, l = -134.73297856008242, h = -6382139.218009056
b = -175.5081052036275, l = -37.445458767955266, h = -6382276.57424137
b = -148.6951002972178, l = 48.25881272904869, h = -6388970.019878254
b = -106.88041191459882, l = -3.947305413104208, h = -6405015.023598071
b = 118.60362174295591, l = 157.17749180806254, h = -6400922.353035389
b = 121.07469142492783, l = -151.76719077104508, h = -6399219.234457596
b = 168.7936858911108, l = -43.56714429841237, h = -6383482.694687887
b = -124.43312183397796, l = -93.28375879541179, h = -6397597.263901588
b = -149.8981972230783, l = 70.09816542941071, h = -6387421.6876438605
b = 120.9966425636944, l = 114.75247589970053, h = -6400012.059069597
b = -179.7401575433141, l = 145.93669238358666, h = -6381844.151311448
b = 176.46985608000315, l = -135.14288298278728, h = -6382126.988330717
b = -175.27000033860776, l = -37.67513983908095, h = -6382315.927345423
b = -148.35429264151125, l = 48.42499382034964, h = -6389085.644414934
b = -105.82766743597912, l = -5.1312742224938255, h = -6405594.010881447
b = 117.61696568523938, l = 157.7098869332339, h = -6401365.550412339
b = 122.73521302468573, l = -151.367844638434, h = -6398492.41382302
b = 169.2146716671786, l = -43.63752716366614, h = -6383419.668770389
b = -125.68422681502157, l = -94.09754338843472, h = -6397044.822612861
